timestamp_s,signal,label,anomaly_type,source
0.0,0.030471707975443137,0,normal,simulated
0.002,0.26412614206062834,0,normal,simulated
0.004,0.7595922255093344,0,normal,simulated
0.006,0.998883524105141,0,normal,simulated
0.008,0.8029232095628879,0,normal,simulated
0.01,0.8208385656089219,0,normal,simulated
0.012,0.7832972830925178,0,normal,simulated
0.014,0.45012941486735736,0,normal,simulated
0.016,0.12365311781387565,0,normal,simulated
0.018000000000000002,-0.33399427992221303,0,normal,simulated
0.02,-0.49984545480619014,0,normal,simulated
0.022,-0.76654873195912,0,normal,simulated
0.024,-0.9756841809725671,0,normal,simulated
0.026000000000000002,-0.8695631300318855,0,normal,simulated
0.028,-0.7975769912768109,0,normal,simulated
0.03,-0.6737144985807979,0,normal,simulated
0.032,-0.21181480875660547,0,normal,simulated
0.034,0.029444973481404277,0,normal,simulated
0.036000000000000004,0.5695987042324429,0,normal,simulated
0.038,0.7655206516771634,0,normal,simulated
0.04,0.9325702799406275,0,normal,simulated
0.042,0.9299337739878775,0,normal,simulated
0.044,1.027081186333423,0,normal,simulated
0.046,0.6690941577218095,0,normal,simulated
0.048,0.32529177046836727,0,normal,simulated
0.05,-0.035213355048822594,0,normal,simulated
0.052000000000000005,-0.31489363412934235,0,normal,simulated
0.054,-0.64800269949228,0,normal,simulated
0.056,-0.8635537913064201,0,normal,simulated
0.058,-0.9549446281274833,0,normal,simulated
0.06,-0.7368917562081082,0,normal,simulated
0.062,-0.8111547444142513,0,normal,simulated
0.064,-0.53297794700887,0,normal,simulated
0.066,-0.20671050638909355,0,normal,simulated
0.068,0.31028782942240424,0,normal,simulated
0.07,0.7006824815645618,0,normal,simulated
0.07200000000000001,0.832933179736528,0,normal,simulated
0.074,0.8982716030324354,0,normal,simulated
0.076,0.899839129159565,0,normal,simulated
0.078,0.9093872042844863,0,normal,simulated
0.08,0.6621106694128178,0,normal,simulated
0.082,0.3030053139953752,0,normal,simulated
0.084,-0.19188420429317238,0,normal,simulated
0.08600000000000001,-0.45853754179504336,0,normal,simulated
0.088,-0.7588446618617151,0,normal,simulated
0.09,-0.929187656622251,0,normal,simulated
0.092,-0.9108838506334528,0,normal,simulated
0.094,-0.8824674975885519,0,normal,simulated
0.096,-0.6166557496214992,0,normal,simulated
0.098,-0.3613666457357908,0,normal,simulated
0.1,0.02891193986899768,0,normal,simulated
0.10200000000000001,0.43125337526853263,0,normal,simulated
0.10400000000000001,0.538831523943121,0,normal,simulated
0.106,0.8728599308302879,0,normal,simulated
0.108,0.9509894629989919,0,normal,simulated
0.11,0.8871687314708196,0,normal,simulated
0.112,0.7429990176531228,0,normal,simulated
0.114,0.6312478052251562,0,normal,simulated
0.116,0.03875012199498007,0,normal,simulated
0.11800000000000001,-0.1518620517057045,0,normal,simulated
0.12,-0.7560722294540501,0,normal,simulated
0.122,-0.8778164285005909,0,normal,simulated
0.124,-0.9660119442181878,0,normal,simulated
0.126,-0.9236650175927615,0,normal,simulated
0.128,-0.7732052675227308,0,normal,simulated
0.13,-0.5084505287724814,0,normal,simulated
0.132,-0.28356239438970154,0,normal,simulated
0.134,0.07909805429784585,0,normal,simulated
0.136,0.5675512622274305,0,normal,simulated
0.138,0.7513828102876262,0,normal,simulated
0.14,0.8234878839613611,0,normal,simulated
0.14200000000000002,0.8846980070279234,0,normal,simulated
0.14400000000000002,0.8128818238658577,0,normal,simulated
0.146,0.7342631803340679,0,normal,simulated
0.148,0.3823671262917401,0,normal,simulated
0.15,0.06904853540678148,0,normal,simulated
0.152,-0.41084981731832837,0,normal,simulated
0.154,-0.6686931368210133,0,normal,simulated
0.156,-0.8422680130692841,0,normal,simulated
0.158,-1.0289613824002952,0,normal,simulated
0.16,-0.9053789925394128,0,normal,simulated
0.162,-0.8367058368824565,0,normal,simulated
0.164,-0.5180590587582241,0,normal,simulated
0.166,-0.16350702296413766,0,normal,simulated
0.168,0.12910592260594825,0,normal,simulated
0.17,0.6364825003710275,0,normal,simulated
0.17200000000000001,0.7973876914817428,0,normal,simulated
0.17400000000000002,0.983536662601457,0,normal,simulated
0.176,1.0303619166192803,0,normal,simulated
0.178,0.8889810431050128,0,normal,simulated
0.18,0.6543237631897585,0,normal,simulated
0.182,0.2388413387139158,0,normal,simulated
0.184,-0.16766306476871407,0,normal,simulated
0.186,-0.4897254951923484,0,normal,simulated
0.188,-0.9392466861715905,0,normal,simulated
0.19,-1.0957677635374607,0,normal,simulated
0.192,-1.1302966896637119,0,normal,simulated
0.194,-1.0045517352261686,0,normal,simulated
0.196,-0.6445696832563481,0,normal,simulated
0.198,-0.45867245822068337,0,normal,simulated
0.2,-0.037816255403940444,0,normal,simulated
0.202,0.4980473824632812,0,normal,simulated
0.20400000000000001,0.648920708822547,0,normal,simulated
0.20600000000000002,0.9785786093127278,0,normal,simulated
0.20800000000000002,0.9046649604272836,0,normal,simulated
0.21,0.9305127605083922,0,normal,simulated
0.212,0.6755110372847357,0,normal,simulated
0.214,0.447850366511661,0,normal,simulated
0.216,0.2093640473100482,0,normal,simulated
0.218,-0.4214219294840833,0,normal,simulated
0.22,-0.5443428879378861,0,normal,simulated
0.222,-0.8205543652687853,0,normal,simulated
0.224,-1.041702246298367,0,normal,simulated
0.226,-1.1268930361675342,0,normal,simulated
0.228,-0.8371149747306298,0,normal,simulated
0.23,-0.6407345231988576,0,normal,simulated
0.232,-0.22542226602938467,0,normal,simulated
0.234,0.12751844811664614,0,normal,simulated
0.23600000000000002,0.6419315632338028,0,normal,simulated
0.23800000000000002,0.746577680028487,0,normal,simulated
0.24,0.8487067670329643,0,normal,simulated
0.242,1.0159542919239033,0,normal,simulated
0.244,0.9268267208631986,0,normal,simulated
0.246,0.8204658634527383,0,normal,simulated
0.248,0.45163567727613885,0,normal,simulated
0.25,0.03568710591495633,0,normal,simulated
0.252,-0.22179426356271473,0,normal,simulated
0.254,-0.803423411360972,0,normal,simulated
0.256,-0.9688022057409922,0,normal,simulated
0.258,-1.0906843225688236,0,normal,simulated
0.26,-0.990037496610731,0,normal,simulated
0.262,-0.9081818575314227,0,normal,simulated
0.264,-0.41823857942028025,0,normal,simulated
0.266,-0.14755550327418282,0,normal,simulated
0.268,0.1016092577145857,0,normal,simulated
0.27,0.48622734417171454,0,normal,simulated
0.272,0.8756793102470343,0,normal,simulated
