window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy
0,0.0,0.998,0,normal,-0.0013126150466930915,0.7150917254489156,0.7150929301592682,-1.1895855943278215,1.1819603398978682,2.37154593422569,0.02231939837446215,-1.4607241357374434,30.0,254.6600282803354
1,1.0,1.998,0,normal,-0.004465695152496069,0.7158839832458739,0.7158979116474454,-1.2653101717385635,1.1765435686354822,2.4418537403740457,0.0367194280108363,-1.4320356976454405,30.0,255.22450130905267
2,2.0,2.998,0,normal,-0.0003923025276193246,0.7154744781612229,0.7154745857131106,-1.2077718241892814,1.2533618034505296,2.461133627639811,-0.008310433833639901,-1.4486987990914664,30.0,254.93431691594864
3,3.0,3.998,0,normal,-0.015883368422259278,0.7155834180967678,0.715759673107874,-1.274003238798415,1.1413472625225705,2.4153505013209857,-0.0047320574275339,-1.4670647620739998,30.0,255.030488767669
4,4.0,4.998,0,normal,-0.00011013086676702089,0.7090774118389159,0.7090774203914432,-1.1964410507411625,1.21003029558428,2.406471346325443,-0.0007075386746509499,-1.43632210292127,30.0,250.4055997900891
5,5.0,5.998,1,increased_amplitude,-0.0037901589538178733,1.7701098010690757,1.7701138588084375,-2.676794069019821,2.6716024367200406,5.348396505739862,-0.07149904204911214,-1.4920685987864528,30.0,1560.4103900138202
6,6.0,6.998,1,increased_amplitude,0.001166966466878268,1.7733318821648603,1.7733322661343252,-2.700264728823312,2.694763554398794,5.395028283222106,0.000974680284178,-1.49570051817341,30.0,1566.0907126698983
7,7.0,7.998,0,normal,-0.0021984470987348663,0.7138806628857639,0.7138840480161072,-1.1866028894853753,1.2449357416323814,2.431538631117757,0.01808414249727635,-1.4220718726126202,30.0,253.80919003597174
8,8.0,8.998,0,normal,0.0012817485699913353,0.7209428230394905,0.7209439624350473,-1.175147212267447,1.2319296646875308,2.407076876954978,-0.014393863748397951,-1.4541240373815274,30.0,258.84857688954855
9,9.0,9.998,0,normal,-0.005553244865182138,0.7096508467960595,0.7096725744221043,-1.2674269901975237,1.2086507581985828,2.4760777483961065,0.012862140526609101,-1.4480338136148303,30.0,250.80198702203052
10,10.0,10.998,1,changed_frequency,-0.006642038269669877,0.7244714652936995,0.7245019121418355,-1.253629006483402,1.22472124344446,2.4783502499278622,-0.0133196767279739,-1.4500819005074417,60.0,261.41769457835466
11,11.0,11.998,1,changed_frequency,0.001783626172179156,0.7082613273820826,0.7082635732461127,-1.201950805778538,1.2306459420596738,2.432596747838212,0.00081755513708875,-1.455060991293536,60.0,249.81885220439085
12,12.0,12.998,0,normal,0.004746534474792244,0.7131273119039622,0.7131431080595896,-1.2182524053261208,1.2100637533325256,2.4283161586586464,0.0141121925623015,-1.4232864200239965,30.0,253.33525903984506
13,13.0,13.998,0,normal,-0.0018440951807227254,0.7206752950918985,0.7206776544633742,-1.2529210036706615,1.2051349883499671,2.4580559920206286,0.02624516277627825,-1.447906400588719,30.0,258.65188931358523
14,14.0,14.998,0,normal,-0.001532050392005469,0.7146354180055343,0.7146370602245229,-1.142204657819366,1.3116726615655756,2.453877319384942,0.0009655242107737003,-1.4539413803271781,30.0,254.33920541131477
15,15.0,15.998,1,drift,0.49246187444462886,0.7663869973977017,0.9109707610904876,-0.943666181293786,1.9870547560011984,2.9307209372949843,0.5151395044477016,-1.1146807670684562,30.0,292.50810543556594
16,16.0,16.998,1,drift,1.5074514045627196,0.7664618117011601,1.6911160356150434,-0.1946331079009364,2.9578634016744765,3.1524965095754127,1.4954487073281348,-1.0817339642933035,30.0,292.56368985919335
17,17.0,17.998,0,normal,-0.003447077691323506,0.7109583142728262,0.71096667079285,-1.2208199680099596,1.2269767899628825,2.447796757972842,0.0106532411514886,-1.4232684654143106,30.0,251.72421216711433
18,18.0,18.998,0,normal,-0.007600483980670548,0.7084094858288786,0.7084502572298753,-1.1372363800526948,1.223839587281938,2.361075967334633,0.0009860254167319,-1.469096163479243,30.0,249.92373075263453
19,19.0,19.998,0,normal,-0.000687267895290022,0.7224863608652241,0.7224866877482482,-1.2112950313955984,1.2232174734478805,2.434512504843479,-0.007557256725235001,-1.475154478087684,30.0,259.97829548274194
20,20.0,20.998,0,normal,-0.008188826000925194,0.7148487393617665,0.7148956406625937,-1.247803475183367,1.161718837252996,2.409522312436363,0.004118052395354803,-1.4506707932651124,30.0,254.52880627192744
21,21.0,21.998,0,normal,-0.0004051957521881091,0.7174816135479222,0.7174817279645019,-1.2528355617166458,1.258224136244152,2.511059697960798,0.0197822404792062,-1.4332284364371122,30.0,256.38662331951167
22,22.0,22.998,0,normal,2.7957755572837417e-05,0.7184295161726265,0.7184295167166158,-1.2213032622859998,1.1910361817776602,2.41233944406366,-0.01961605976023845,-1.4477086742290926,30.0,257.043844613731
